year,imdb,title
2010,tt0817230,Valentine&#39;s Day
2010,tt1027718,Wall Street: Money Never Sleeps
2010,tt1183923,Welcome to the Rileys
2010,tt1235189,Wild Target
2010,tt1399683,Winter&#39;s Bone
2010,tt1216520,Womb
2010,tt1302067,Yogi Bear
2010,tt1414382,You Again
2010,tt1182350,You Will Meet a Tall Dark Stranger
2009,tt1022603,(500) Days of Summer
2009,tt0974661,17 Again
2009,tt1190080,2012
2009,tt0472033,9
2009,tt0971209,A Perfect Getaway
2009,tt1019452,A Serious Man
2009,tt1315981,A Single Man
2009,tt1185836,Adam
2009,tt1091722,Adventureland
2009,tt1186830,Agora
2009,tt1077262,Ajami
2009,tt0881891,All About Steve
2009,tt1174732,An Education
2009,tt0808151,Angels &amp; Demons
2009,tt0913354,Armored
2009,tt0375568,Astro Boy
2009,tt0499549,Avatar
2009,tt1176740,Away We Go
2009,tt0889583,Br&uuml;no
2009,tt0901476,Bride Wars
2009,tt0810784,Bright Star
2009,tt1210042,Brooklyn&#39;s Finest
2009,tt0765010,Brothers
2009,tt1232207,Capitalism: A Love Story
2009,tt0795351,Case 39
2009,tt1352824,Chloe
2009,tt0844471,Cloudy with a Chance of Meatballs
2009,tt1035736,Coco avant Chanel
2009,tt0327597,Coraline
2009,tt0433362,Daybreakers
2009,tt1278340,Dead Snow
2009,tt1136608,District 9
2009,tt1127180,Drag Me to Hell
2009,tt1191111,Enter the Void
2009,tt0780511,Everybody&#39;s Fine
2009,tt0432283,Fantastic Mr. Fox
2009,tt1013752,Fast &amp; Furious
2009,tt1083456,Fired Up!
2009,tt1232776,Fish Tank
2009,tt0758746,Friday the 13th
2009,tt1201167,Funny People
2009,tt0436339,G-Force
2009,tt1046173,G.I. Joe: The Rise of Cobra
2009,tt1034032,Gamer
2009,tt1194263,Get Low
2009,tt1289406,Harry Brown
2009,tt0417741,Harry Potter and the Half-Blood Prince
2009,tt1001508,He&#39;s Just Not That Into You
2009,tt1024744,I Come with the Rain
2009,tt1045772,I Love You Phillip Morris
2009,tt1155056,"I Love You, Man"
2009,tt1080016,Ice Age: Dawn of the Dinosaurs
2009,tt0361748,Inglourious Basterds
2009,tt1057500,Invictus
2009,tt1230414,It&#39;s Complicated
2009,tt1131734,Jennifer&#39;s Body
2009,tt1135503,Julie &amp; Julia
2009,tt0448011,Knowing
2009,tt1197624,Law Abiding Citizen
2009,tt0808526,Life During Wartime
2009,tt1149361,Micmacs (Micmacs &agrave; tire-larigot)
2009,tt0892782,Monsters vs Aliens
2009,tt1182345,Moon
2009,tt1121977,Mother and Child
2009,tt1179891,My Bloody Valentine 3D
2009,tt1078588,My Sister&#39;s Keeper
2009,tt0875034,Nine
2009,tt1186367,Ninja Assassin
2009,tt1266029,Nowhere Boy
2009,tt1235796,Ondine
2009,tt1532957,Paa
2009,tt1188729,Pandorum
2009,tt1003034,Perrier&#39;s Bounty
2009,tt0762125,Planet 51
2009,tt0929632,Precious: Based on the Novel Push by Sapphire
2009,tt1152836,Public Enemies
2009,tt0465580,Push
2009,tt0988045,Sherlock Holmes
2009,tt1017460,Splice
2009,tt0796366,Star Trek
2009,tt0473705,State of Play
2009,tt0986263,Surrogates
2009,tt0438488,Terminator Salvation
2009,tt0878804,The Blind Side
2009,tt1131729,The Boat That Rocked
2009,tt1300851,The Boondock Saints II: All Saints Day
2009,tt0362478,The Box
2009,tt0896923,The City of Your Final Destination
2009,tt1144884,The Final Destination
2009,tt1220198,The Fourth Kind
2009,tt1132620,The Girl with the Dragon Tattoo
2009,tt1103982,The Girlfriend Experience
2009,tt1247662,The Good Guy
2009,tt1119646,The Hangover
2009,tt1054606,The Imaginarium of Doctor Parnassus
2009,tt1130080,The Informant!
2009,tt1058017,The Invention of Lying
2009,tt0824758,The Last Station
2009,tt0380510,The Lovely Bones
2009,tt1234548,The Men Who Stare at Goats
2009,tt0790712,The Messenger
2009,tt0780521,The Princess and the Frog
2009,tt1041829,The Proposal
2009,tt0898367,The Road
2009,tt0485601,The Secret of Kells
2009,tt0821642,The Soloist
2009,tt1111422,The Taking of Pelham 123
2009,tt0452694,The Time Traveler&#39;s Wife
2009,tt1142988,The Ugly Truth
2009,tt1139668,The Unborn
2009,tt0962736,The Young Victoria
2009,tt1055369,Transformers: Revenge of the Fallen
2009,tt1049413,Up
2009,tt1193138,Up in the Air
2009,tt1068678,Veronika Decides to Die
2009,tt0409459,Watchmen
2009,tt1178663,Whatever Works
2009,tt0386117,Where the Wild Things Are
2009,tt1172233,Whip It
2009,tt0365929,Whiteout
2009,tt0458525,X-Men Origins: Wolverine
2009,tt0448182,Yesterday Was a Lie
2009,tt0403702,Youth in Revolt
2009,tt1156398,Zombieland
2008,tt0478087,21
2008,tt0800308,Appaloosa
2008,tt0455824,Australia
2008,tt0871426,Baby Mama
2008,tt0799934,Be Kind Rewind
2008,tt0960731,Bedtime Stories
2008,tt0861689,Blindness
2008,tt0397892,Bolt
2008,tt0887883,Burn After Reading
2008,tt0824747,Changeling
2008,tt0892255,Che: Part One
2008,tt0970411,City of Ember
2008,tt1060277,Cloverfield
2008,tt0489018,Day of the Dead
2008,tt0452608,Death Race
2008,tt1034303,Defiance
2008,tt0832266,"Definitely, Maybe"
2008,tt0483607,Doomsday
2008,tt0918927,Doubt
2008,tt1059786,Eagle Eye
2008,tt0808244,Easy Virtue
2008,tt1129423,Fireproof
2008,tt0486321,Fly Me to the Moon
2008,tt0800039,Forgetting Sarah Marshall
2008,tt0369436,Four Christmases
2008,tt0870111,Frost/Nixon
2008,tt0978759,Frozen River
2008,tt0876563,Gake no ue no Ponyo
2008,tt0995039,Ghost Town
2008,tt1205489,Gran Torino
